	该休息的、该飞的，该公海的人就早走了。今天散户还在坚持。
	还在充满。
	着期待，对吧？
	你是我心扉的而已。
	今天实际上实际上今天是节前的最后一次直播。然后我看了下时间，周日是大年初几了，所以咱们就休了。然后从初三我回北京，我初二回北京，咱们从初三开始给你们上强度。周日是28，对吧？今年没有29吗？直接十六除夕对吧？所以那个周日咱们就休了，你们踏踏实实的该该该陪家人，该回家回家。咱们十六号除夕，十七春节十八回北京，19号大年初三，19 22 2好不好？
	给你们。
	一波带走。然后。
	今天。
	是这样。不是怎么白，我也不知道。我这个灯很奇怪，我这个灯我上面这个灯打开就这样。然后我刚才还设置，我把颜色调调调暗点，也不太行，反正我什么设置都没有我我都没有动过设置，我也不太会，就把它插上以后，这摄像头就这样了。不是美颜，美颜就是默认的，这个东西就是特别白，我的皱纹都没了你看皱纹，我这边有皱纹，你看而且是而且特别白白的，好像只剩下五官了，都不立体了。我我对我对这个我我对这个画面的这个颜色不满意，不。
	满意。
	衣服颜色问题是吗？**。明白，就是想让我换衣服，是不是想让我换？等会儿，等会儿我我把我上面的顶灯关了，我看看。
	不行，有点黑，你看是不是更更黑了。
	就这样凑合看吧，咱又不是颜值，又不是颜值主播，那哥们儿不都说了吗？说这听声就行是吧，咱听声就行了相比于黑，更在于绿。不是要听你们要不然我换件衣服去，我换件衣服。
	听你们的。
	我要不要换件衣服？不是开美颜了，每次都默认有点美颜。但是为什么今天是这样呢？不知道，换什么行，等我会儿。为了命令。听你们的，人民满意很重要，对不对？
	我看我这儿我我看我这儿的衣柜有什么衣服，好不好？不要忘了我已经从北京出来20天了，不要忘了我是先去的珠海，我现在换洗的衣服已经不多了。我我我去找一找好不好？我剩下都是绿色的了。我找找我看看我这边衣柜有没有，我记得我这边衣柜有有一件曼联。
	我找找。
	蓉蓉，我去找一下，我已经出来20天了，我找找。
	说他是朋友，在你眼中。
	那么沉重，他把战斗。
	属于我找到一条红。
	的发紫的，行不行？然后manchester united OK，我换上，等会儿。
	车霸占了。
	他霸占了你。说。
	行吗？那就这样了。
	红三兵是吗？OK就是三条红线，红三兵了是吗？太难了，太太难了，真的太难了。我往后面，你看我往后点就没那么白，对不对？Arsenal的球迷跟liver poo的球迷，不好意思了，人民满意很重要。今天晚上我就穿一个man chest united OK，红三军的是吧？OK, 曼联粉记得这件儿是哪赛季的吗？主教练是谁？记不记得这件的主教练是谁？一直压的有点皱，有点皱，凑合看啊，一会儿别再挑毛病说咒。这件的。
	主教练是谁？
	说斯科亚目的亮啊，穆里尼奥。
	行，那就咱开始，就别闹了，好不好？行不行？就别闹了，乖，别闹，开始了。
	完了，发型有点乱了，完了，发型乱了，发型。
	乱了。
	行，开始，反正就开始了。来吧。是不是时间过得很快，遥想到去年的此时此刻，我也是在这个家直的播。当时我拿了大桶，我跟你们说这个什么来着？冰山之一一角那冰山一角。然后今天。
	是这样。
	后台收到很多朋友的私信，跟我说说说说回家路上，说还在回家路上什么什么的，说能不能把那个课往往后挪一下。我说行，没问题。因为为什么呢？正好是正好两个原因，一个是确实私信有些朋友问我，说在回家路上那就回老家，然后说这要错过的话就等俩礼拜。然后还有是我的一些案例的数据在家里的电脑上面，我这出来是带一个笔记本。
	所以正好咱们就对快过年了，快过年，而且都心浮气躁的对吧？所以咱们就大年初三，大年初三熄火了，不听了是吗？可以拜拜，快快走，快走。走完之后咱们今天就扒了一下，我觉得有很多特别牛逼的票，慢慢的再走出来。
	AIGC是不是没完，是不是没完呢？我跟你讲，就是活这么大，就是一逆反不成熟，情绪也不是很稳定。虽然说悟性是多少有一点，王德峰说了对不对？王德峰就我说就悟性有一点，但是就情绪不稳定，你知道吗？兄弟我我有时候我我也我也非常的觉得莫名其妙，我也莫名其妙。然后这样所以咱们今天咱们今天就当成是一个节前，就现在就相当于是马上放寒假了，期末也考完试了，马上放寒假。所以估计很多人也无心恋战，是吧？关键老师也无心恋战，你知道吗？
	所以咱们今天主要就是什么呢？就是这个答疑，因为有有很多疑问，所以今天是一些细节上面的补充，其实挺重要的。细节上的补充，所以说因为确实有每天都有很多问题，我觉得这样咱们借这个机会，都都好好好的过一下。其实今天就有点像是错题本儿，有点像叫什么相亲是吗？
	相亲都没人了。
	我跟你讲，踏踏实实相亲都没人了。有一年有白头发，这个是吗？我我我红参出来这波已经喝完了，我现在身上已经没有红参了。我我我27号就离京了，现在都几号了？先到2月11号。半个月了，身上的红真。
	没了。
	红尘能带上飞机吗？肯定的。掉色了是吗？**，哥们儿可以，这还能掉色是吗？掉色了行，哥们儿我觉得你这个解释的可以。
	掉色了。
	稍等。
	你说。
	我这是我也刚到，所以。
	晚安晚安，拜拜哥几个晚安，咱们大年初三见，好吧，今天没什么事，就上来打个招呼。主要就是打个招呼，今天上来行吗？
	拜拜相亲是吗？我跟你讲，本来一楼也没多少，然后你二楼相亲不都休假了，人都回老家路上了，专门跟我说了，说咱们今天能不能别讲太干。然后我说有时候聊性了，我也控制不了，我也不知道今天怎么样。可以2楼了吗？现在就是二楼。你们看一下我这个B站升级了直播间，你们发现了吗？B站直播间升级了，升完级之后我这看的就是二楼，但是画面不一样了，非常奇怪。
	你就是家科技公司，就是还好，动不动就升级是吧？这挺逗，生的还挺勤。更高清了是吗？还有IP对，IP早就有了。哥们儿，上次我还让你们猜台了。
	这个琼海如何？琼海气候一般，我觉得稳一手开美颜，不是开，你要往后看，是不是颜色就回归正常了，我也不知道为什么，你看这颜色是不是就正常了，我往前绕，你看这就变变粉了，莫名其妙，我也不知道怎么回事，很奇怪。强制美白，你再往这儿，你看是不是这效果就正常了。我觉得可能跟我灯有关系，你看这是不是就正常了。我我没有我没有额外的美白，我本身就很白，我用不着美白好不好？我就专门这次来海南，一大目的是美黑。那。
	美黑。
	行，咱们就那什么，咱们就进入正题。这礼拜怎么样？大家觉得这礼拜算算是给红包了吗？大家说说感觉怎么样？这礼拜。
	无聊是吧？搁扇子，扇子这儿对，都得有。我上来先先得先得这个都都得问一遍，是不是衣服、扇子、白头发，这都得问一遍，是不是有点无聊吧？
	伦敦太快给了没拿，我跟你讲是这样，实际上今年的节前这一礼拜发没发现跟去年特别像，就是大的资金已经下班了，剩下龙龙队一些什么实习生，这种rookie，然后就那个弄弄量量量化，扒拉，有一些这个大户，或者是有有某资，瞎弄一弄，也就这样了。因为什么？因为大的机构，大的砸盘的那些博弈的那些筹码早就走了，早就放假了。所以说你记住这两天，这两天为什么能涨？是因为没有人卖了，要卖的人上礼拜都卖完了，所以煤炭爽了是吧？他也是咱俩中后卫防守用的。再说一遍，他们是防守用的，不是进攻用的，他们是防守用的。
