	为了避免迟到，所以先开播了。Hello, 哥，几个晚上好声音行吗？
	声音行吗？
	好久不见。
	好久不见。声音可以。
	是吧？混。
	时长也是白搭。你们平时上学上班的要打卡，不也是打完卡以后下楼买早餐是吧？
	然后去厕所蹲坑。
	是不是把卡打了，先一样一样。万物皆同理。
	带薪拉屎。对。还是爱淡了？那不绝对不是绝对不是。这爱的真挚才会风雨无阻八点开播，正是因为太过于真挚。维京群岛信号正常。
	OK。
	哥们儿，这扇子。
	怎么样？
	莫名其妙，踏踏实实，就是这个这个款型稍微的有点阴柔。声音。
	OK. 
	咱们那天直播8个小时，然后我整整24小时没有说话。
	西楼折扇。这是伤黑顺的扇子，那那不至于。
	东厂限定不是西厂好吗？西厂咱家是夕子。
	味儿的。
	大家晚上好啊，咱们一定要重新回到咱们自己原有的节奏当中，就是慢慢悠悠，踏踏实实，好吧。
	现在一楼二楼，我看看，一楼。不着急，我等我查，稍微等一会儿，咱这家务事得齐全。完了，我这我觉得这个嗓音有点哑巴嗓了。
	来吧正式开播。
	对，今儿就没法国窖了，国，你能品味的历史不行，上不去了，下次，好不好？下次。
	行，开始，哥姐都吃了吗？哥儿几个。
	都吃了吗？
	今天这个BGM有点暖胃，不是暧昧就行，吃了是吧？OK正在吃，还在等开饭。师傅不吃，我不吃。那哥们那你跟我耗着，我现在还没吃在您怀中。
	吃蜜语。
	大哥没鞋穿了，什么时候最牛逼？我们每天也在催，在崔巨牛逼跑鞋unit，eat what I need. No，eat. 
	我上的挺好的，我是我是女粉。那哥你懂的，我也不知道为什么，我也不知道为什么人家送我一把女款的扇子，莫名其妙。彩云送的彩云姐。就是一个著名窑口的窑主，送了把扇子。
	传说穿的不太行了，穿的还行，精神状态还可以。昨天还*******，是不是说什么来着？说今天应该是明天大概八点钟开盘，明天八点钟大家开盘以后，是他的什么什么bridge day是吧？发电厂日和和什么什么日，乔乔乔日是吧？恼羞成怒。对，都都*******了，你就弄的跟那什么咱那叫什么歌来的，那个那个口口罩歌，口口罩哥哥的妈的各种*******是吧？然后最新消息是希望停战45天，然后伊朗秒回说不可能的对吧？停45天，***这你美军就前线就部署完毕了，打的就是你的措手不及。重庆路桥。
	跑遍。
	电器现在就是乱，现在就是太太乱了。一天一。
	消息。
	对，公共厕所吗？想来就来，想走就走，是不是？人家6000年波斯文明是吧？几千年波斯铁骑，虽然这回一季都没见到，可能他妈送荔枝去了也反正也没见到是吧？但是你要真敢走地面，那就是一人一计。波斯挂行吗？我这波斯挂是不是？这是哪个电影来的？疯狂的石头，公共厕所，是这么说吗？
	骑着骆驼赶毁灭，赶紧的，你看是不是现在到了一个临界点点。其实我跟你讲，不光是咱们的中国人民和大A子民，不是不光是中国人民，还是大A股民，在当前这个时点。
	就都已经。
	厌倦到极致了。你要到底打还是不打，对不对？你得打还是不打。现在除了川儿自己，所有人都希望赶紧打。除了川跟伊朗这两家，其除此外所有其他所有人都在敲锣边都在等着。对，给个痛快是吧？我跟你讲，往往这个世界就是这样，就。
	是从他。
	第一回没有速胜，就跟你买完一个票，买完以后磨磨唧唧上上下下，要么是光机套那了，要么是时刻给你点希望，一般来讲就持久战了，你要么套住在研究，像圈就属于套住在研究，对吧？天天研究，开会研究的各种研究，天天研究怎么办？所以川儿的心态都已经崩了，都开始*******了，对不对？
	不是你想，咱们说换个角度说说今夜咱们都是波斯人行吧？就咱们都是波斯人，咱们想象一下一点多万人，咱们想象一下，咱们现在都是波斯人，现在停不停？就穿什么跟以色列各种***，那这咱们就咱们今夜是波斯人停不停？咱们说投个票对吧？咱们咱咱咱们那个什么，这账停不行，就是能不能同意美国的这什么什么先停45天，什么什么这个谈判停不停，你看是不是？所以这。
	他妈。
	停不了，跟你讲停不了，对吧？就是压已经把这个缸给砸成这样了。如果说大A还是在4200点，我同样的问题问大家，我说现在大家在新高的点位，咱们都是波斯人民，美国现在这边求饶，咱们停不停？肯定满屏的停，是不是已经给套上了，**这干啥，对不对？已经套住了吗？已经百分之二十三十工艺已经套上了，给他死磕对不对？
	人家伊朗也是。
	人家波波私人是不是人家损失很严重，自自上到下的话方方面面的那你这现在让我停停你妹对吧？咱们大A的股民说，**已经414199798到了他妈3 3800了，你他妈想停就停。哥们儿门票费都买了，哥们儿值都充了，对吧？这票他妈票钱都花了，***他妈你说no show impossible对不对？你想停就停吗？所以说你停不了。哥们儿就这么人家只说不一样的在于波斯人是用生命在看戏，对吧？
	咱们是军费都掏了，这门票钱都给了。你说停就停那肯定不行，停不了，不能停，对不对？马上连夜就得开发新的武器，对吧？就是马上连夜研制，一天一个新武器mission complete . 
	te。
	是不是这都钱都花了，你想停就挺大的那不可能。今儿作业，今儿舞是不是打了一辈子仗，就不能享受吗？对不对？来哥几个共饮此杯酒，共共饮此杯茶。所以说这个煤气停不了，但是没关系，没关系。就是现在就有点像拿俄乌战场来讲，现在就有点轻舟已过万重山。他已经这样了，就全世界都是已经这样了，已经有点疮痍了。虽然没有满目，但是有点疮痍，所以慢慢的资本市场就会缓过来了，不用着急说，顶多下礼拜再再扛一下，下礼拜再看看什么什么情况。
	徐老师说这个有点像俄乌战争先打，那前一个月全世界没看明白，**到底什么情况。陈华老师说3400是吗？那他2400两. 
	2400行吗？
	最好回到998，998那样更好，全死对吧？谁谁也别。
	活行吗？
	直接。
	800是吗？
	吓死了。
	吓哭了。
	对，凭什么？哥们儿非常好啊，我你这跟谁发的这个弹幕，坤帮我找出来，今天人少，帮我找找出来谁发的这个说凭什么对吧？你他妈理性下来凭什么，对不对？他妈你无论从哪个角度去思考，你用你全身上下所有的眼部去思考，凭什么，对不对？凭什么？
	所以市场永远交易的是情绪，就这一个月，整个中国所有的经济的向好的，所有的这些成绩，这些趋势就结束了，没了。以前玩AI的公司崩，这一个月**大家都停下来了。来一起看川的发热门新闻了是吧？你不用上班了，你们学校放假是吧？一起来看打仗是吗？
	就具体背后的这个逻辑，咱们在前天直播的时候基本都讲了，就不再。
	重复了。
	所以任何一次在大级别的趋势里边，在困难的时候，这就是考验整个市场里边人群心理状态以及信仰，以及方方面面认知逻辑、心理承受能力、财力物力方方面面的一个考验。所以最后赚钱的一定是少数人，从来都是历来如此。就跟美股也是，美股从09年开始，咱们41000救了他一下，然后中间每个过程当中总会有那种非常急迫的一次回调，很正常。所以害怕怕就销户，怕就不要干这个事情。
	你们不用考虑串儿怎么样，川儿无论怎么样，如果那个peasants上，如果那个python上来，我觉得那个全世界画着眼线的男人上来，我。
	跟你讲。
	更不可测，更不可测。你就这样，我就你让我选，我觉得穿这样挺好，你就这串接着干，真的干的蛮蛮好的，穿到今儿干嘛？就跟自古，咱们也有5000年的历史，上下5000年历史上一些朝代的后期，宦官当政是不是更麻烦是不是更麻烦？
	你碰一个这种美国王思聪跟这儿，这个人阳谋你看得懂，看得清楚，操对吧？就当猴子看我，你看得懂，就比如说咱们早在去年这个关税战之前，咱们不就那把就彻底就看懂他了吗？是不是？所以你两边叫叫到145，145%，没人理你***玩吧，你说，你闹闹，说明咱们这边的高人早就看透了，洞悉一切everything。然后这不就伊朗，今年学咱们晚了一年，晚了一年。但是说内衣其实早就看透了，内衣是愿意谈的。当时那一个去年他老美轰人家十几天是吧？内衣没说话，内衣没没。
	说话，内衣。
	不想打。所以说以色列也看出来了，所以就各家其实都看出来了。但是拿来当牌使？所以老头在台上，他也是挨过一一一枪子了，人也开心对吧？
